guid,tag
8,negative
1576,positive
2320,positive
4912,positive
3821,positive
1306,positive
4555,negative
259,positive
3216,positive
881,positive
1037,positive
2463,negative
3760,positive
3102,positive
4074,positive
2155,negative
5009,positive
3292,positive
3599,negative
1061,positive
3927,negative
4461,positive
716,positive
2505,positive
1803,positive
2157,negative
1612,positive
4052,positive
3641,positive
5097,negative
2358,negative
349,positive
4710,negative
2991,positive
459,positive
1737,negative
1993,positive
116,positive
2949,positive
2792,positive
1580,positive
2021,positive
4843,positive
4827,positive
3119,positive
3298,negative
4541,negative
1952,positive
1839,positive
2127,positive
3872,negative
3023,positive
2351,positive
4507,positive
600,negative
1516,negative
4601,positive
1046,positive
1227,positive
4378,negative
4357,positive
4094,positive
5027,negative
1969,negative
4754,negative
861,positive
136,positive
4466,positive
4916,positive
1025,negative
4922,positive
1233,negative
1173,negative
532,positive
51,positive
3008,positive
1578,positive
4945,positive
2572,positive
173,negative
3439,negative
755,negative
2918,positive
1417,negative
3152,positive
121,positive
780,negative
4319,negative
1191,positive
1573,positive
1406,positive
3955,negative
2904,positive
2721,negative
58,negative
3149,negative
3690,positive
3243,positive
3476,positive
1393,positive
3362,positive
1552,negative
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,positive
2823,negative
1021,positive
3103,negative
4981,negative
3110,negative
824,positive
1999,positive
1769,positive
4038,positive
2499,positive
4287,positive
4913,negative
3181,positive
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,negative
749,positive
489,positive
3464,positive
4910,positive
5000,positive
2717,negative
939,positive
4944,positive
4560,positive
4471,positive
313,positive
3002,negative
204,positive
4082,positive
960,positive
740,positive
31,negative
3324,negative
264,positive
1922,negative
3424,positive
1192,positive
4603,positive
570,positive
2668,positive
1645,positive
3271,positive
89,positive
3975,positive
3397,positive
3638,positive
1228,positive
2744,positive
4545,positive
730,positive
2958,positive
1717,positive
1324,positive
4312,positive
3374,positive
4430,positive
3945,positive
290,positive
4061,positive
1168,negative
1667,negative
3139,negative
964,positive
3495,positive
932,positive
4483,negative
3227,negative
5108,positive
1931,positive
5040,positive
3174,positive
1381,positive
2800,positive
4911,positive
1768,positive
4087,positive
1648,negative
3909,positive
4348,positive
3170,positive
3774,negative
3492,positive
1994,positive
2971,positive
5043,positive
4552,positive
4372,negative
1682,negative
4046,positive
4022,positive
174,positive
4387,positive
677,positive
1133,positive
429,positive
4040,negative
2114,positive
3998,negative
1020,positive
2676,positive
2367,positive
5037,positive
2863,negative
2988,negative
2746,positive
1431,negative
2550,positive
286,positive
739,negative
3348,positive
3948,positive
3224,positive
1096,positive
1584,negative
3660,positive
3898,negative
751,positive
3963,negative
3891,positive
312,positive
867,negative
3268,negative
1697,positive
1791,negative
3701,positive
2055,positive
3914,positive
3572,negative
1660,positive
2943,negative
424,positive
1285,positive
3039,negative
1642,positive
1111,positive
1539,positive
3401,positive
2098,positive
3400,positive
4345,positive
1352,positive
4681,negative
3005,positive
2362,positive
2154,positive
1512,negative
2677,positive
848,positive
1243,positive
3637,positive
1990,negative
2627,positive
948,positive
5039,positive
1587,positive
55,positive
4738,negative
4205,negative
3494,positive
2758,positive
479,positive
1898,positive
3046,negative
1088,positive
1039,positive
1875,positive
1100,positive
224,positive
2585,negative
2888,positive
1309,negative
4693,positive
3651,negative
383,positive
1057,positive
2607,positive
3306,positive
310,positive
2646,positive
1490,negative
4860,positive
1606,positive
3554,positive
3580,positive
4947,positive
3889,positive
5,negative
2704,positive
3346,positive
2480,positive
3842,positive
4807,positive
3001,positive
4715,positive
4410,positive
1290,positive
4644,positive
4294,positive
4847,positive
2750,positive
1861,positive
4272,positive
617,positive
1574,positive
2332,positive
1974,negative
3399,negative
3714,positive
5092,positive
2709,negative
1435,positive
4449,positive
2939,positive
1429,positive
145,positive
250,positive
4871,positive
1868,positive
1508,positive
4811,positive
3222,negative
566,positive
558,negative
38,negative
533,negative
2527,negative
2078,positive
3731,positive
124,positive
4774,positive
967,positive
3016,negative
2911,negative
4613,positive
4201,positive
4877,positive
4306,positive
3671,positive
4255,negative
1105,positive
1806,positive
3061,positive
1830,negative
3417,positive
60,positive
1933,positive
3022,negative
2635,positive
2815,positive
1301,positive
575,positive
4925,positive
4112,negative
5127,negative
4795,negative
334,positive
3126,positive
912,positive
3969,positive
3451,positive
3336,positive
923,positive
2737,positive
2443,positive
1312,positive
3505,positive
2764,positive
4580,positive
3854,positive
2570,positive
2989,positive
2115,negative
3462,positive
1699,positive
4898,positive
4138,positive
1866,positive
2915,positive
1635,negative
1908,positive
4030,positive
4771,negative
3248,negative
494,positive
3161,positive
20,positive
3300,positive
4242,positive
1476,positive
1879,positive
1384,positive
1616,positive
4376,positive
3884,positive
2026,negative
4291,positive
4790,positive
657,negative
2873,negative
812,positive
2893,negative
3296,negative
126,negative
2469,negative
3206,positive
2019,positive
916,negative
4621,positive
1620,negative
184,negative
5017,positive
1201,positive
5111,positive
4417,positive
4431,positive
4434,positive
4920,negative
272,positive
279,positive
3020,positive
2325,negative
2858,positive
4288,negative
1596,negative
803,positive
4363,positive
1895,positive
3044,positive
4721,positive
698,positive
1426,positive
2016,positive
3745,negative
4903,positive
534,positive
3650,positive
3371,positive
112,positive
176,positive
573,positive
4919,positive
3276,positive
480,positive
87,positive
911,positive
3705,positive
3082,positive
2537,positive
4450,positive
1497,negative
3083,positive
443,positive
2957,positive
2099,negative
2962,positive
460,positive
1918,negative
3052,positive
13,negative
863,positive
1252,positive
3570,positive
4684,positive
2046,positive
1537,positive
2555,positive
1052,positive
1713,positive
2597,negative
282,positive
3833,positive
4885,positive
4587,positive
1401,positive
1281,positive
2085,positive
565,positive
1205,negative
1560,positive
4064,negative
1036,negative
2606,positive
4777,positive
588,positive
609,positive
3279,negative
3511,positive
4796,positive
2107,positive
1106,negative
3395,positive
2546,negative
4678,positive
1000,positive
1048,negative
1059,positive
1485,positive
3195,positive
2029,positive
