guid,tag
8,positive
1576,positive
2320,positive
4912,positive
3821,neutral
1306,positive
4555,positive
259,negative
3216,positive
881,positive
1037,positive
2463,negative
3760,negative
3102,negative
4074,negative
2155,positive
5009,negative
3292,negative
3599,positive
1061,positive
3927,neutral
4461,positive
716,positive
2505,positive
1803,negative
2157,positive
1612,negative
4052,negative
3641,negative
5097,negative
2358,positive
349,neutral
4710,positive
2991,positive
459,negative
1737,positive
1993,positive
116,positive
2949,positive
2792,positive
1580,positive
2021,negative
4843,positive
4827,negative
3119,neutral
3298,negative
4541,negative
1952,positive
1839,negative
2127,positive
3872,negative
3023,negative
2351,positive
4507,positive
600,positive
1516,negative
4601,positive
1046,negative
1227,positive
4378,positive
4357,positive
4094,negative
5027,positive
1969,positive
4754,positive
861,negative
136,positive
4466,positive
4916,positive
1025,negative
4922,negative
1233,positive
1173,positive
532,neutral
51,positive
3008,negative
1578,positive
4945,positive
2572,negative
173,positive
3439,positive
755,negative
2918,positive
1417,negative
3152,positive
121,positive
780,positive
4319,positive
1191,positive
1573,positive
1406,positive
3955,negative
2904,positive
2721,positive
58,positive
3149,positive
3690,positive
3243,negative
3476,positive
1393,positive
3362,positive
1552,negative
2348,negative
1863,positive
3003,positive
1949,positive
2137,negative
4500,negative
2823,negative
1021,positive
3103,positive
4981,positive
3110,negative
824,positive
1999,negative
1769,positive
4038,negative
2499,neutral
4287,negative
4913,positive
3181,negative
4578,positive
1446,negative
1269,positive
2803,positive
1099,positive
96,positive
749,negative
489,negative
3464,negative
4910,negative
5000,positive
2717,positive
939,positive
4944,positive
4560,neutral
4471,positive
313,positive
3002,positive
204,negative
4082,positive
960,positive
740,negative
31,positive
3324,negative
264,positive
1922,positive
3424,positive
1192,positive
4603,positive
570,positive
2668,positive
1645,positive
3271,positive
89,positive
3975,negative
3397,positive
3638,negative
1228,positive
2744,positive
4545,positive
730,negative
2958,positive
1717,positive
1324,negative
4312,positive
3374,positive
4430,positive
3945,positive
290,negative
4061,positive
1168,positive
1667,neutral
3139,negative
964,positive
3495,positive
932,negative
4483,positive
3227,negative
5108,neutral
1931,positive
5040,positive
3174,negative
1381,negative
2800,positive
4911,positive
1768,negative
4087,neutral
1648,positive
3909,negative
4348,positive
3170,positive
3774,negative
3492,positive
1994,positive
2971,positive
5043,positive
4552,negative
4372,positive
1682,negative
4046,negative
4022,positive
174,negative
4387,positive
677,negative
1133,negative
429,negative
4040,neutral
2114,negative
3998,positive
1020,negative
2676,positive
2367,positive
5037,negative
2863,positive
2988,negative
2746,positive
1431,positive
2550,positive
286,neutral
739,negative
3348,positive
3948,positive
3224,positive
1096,positive
1584,positive
